Sex,DVRT,Educational_level,Prestige_score,Type_school,Leaving_Certificate
0,113.0,3,28.0,1,0
0,101.0,1,28.0,9,0
0,110.0,9,69.0,1,1
0,121.0,5,57.0,1,0
0,82.0,4,18.0,2,0
0,85.0,4,28.0,2,0
0,98.0,2,43.0,2,0
0,92.0,4,33.0,2,0
0,90.0,1,18.0,9,0
0,88.0,4,28.0,2,0
0,84.0,4,18.0,2,0
0,114.0,11,18.0,1,1
0,70.0,4,57.0,2,0
0,109.0,9,40.0,1,1
0,83.0,4,43.0,2,0
0,108.0,4,69.0,2,0
0,95.0,3,43.0,1,0
0,90.0,4,28.0,2,0
0,107.0,9,28.0,1,1
0,86.0,1,18.0,9,0
0,70.0,2,43.0,2,0
0,117.0,9,42.0,1,1
0,112.0,9,43.0,1,1
0,106.0,11,42.0,1,1
0,125.0,11,28.0,1,1
0,123.0,9,46.0,1,1
0,100.0,4,35.0,2,0
0,90.0,3,27.0,1,0
0,70.0,4,51.0,2,0
0,90.0,3,46.0,1,0
0,123.0,3,43.0,1,0
0,127.0,9,43.0,1,1
0,124.0,9,62.0,1,1
0,110.0,6,27.0,2,0
0,94.0,9,43.0,1,1
0,112.0,9,40.0,1,1
0,123.0,9,35.0,1,1
0,70.0,3,18.0,1,0
0,102.0,4,43.0,2,0
0,126.0,11,27.0,1,1
0,121.0,9,40.0,1,1
0,100.0,2,43.0,2,0
0,85.0,2,31.0,2,0
0,86.0,4,31.0,2,0
0,101.0,2,28.0,2,0
0,91.0,5,40.0,1,0
0,113.0,9,43.0,1,1
0,103.0,4,33.0,2,0
0,117.0,7,18.0,1,0
0,72.0,2,43.0,2,0
0,70.0,1,18.0,9,0
0,112.0,3,18.0,1,0
0,65.0,1,18.0,9,0
0,97.0,5,35.0,1,0
0,100.0,4,43.0,2,0
0,99.0,4,18.0,2,0
0,91.0,2,28.0,2,0
0,107.0,8,43.0,1,0
0,94.0,2,43.0,2,0
0,104.0,5,36.0,1,0
0,104.0,5,43.0,1,0
0,115.0,8,66.0,1,0
1,123.0,7,35.0,1,0
1,103.0,5,43.0,1,0
1,109.0,4,43.0,2,0
1,99.0,5,61.0,1,0
1,100.0,11,47.0,1,1
1,100.0,5,62.0,1,0
1,107.0,9,40.0,1,1
1,70.0,1,18.0,9,0
1,91.0,5,30.0,1,0
1,117.0,9,43.0,1,1
1,115.0,9,57.0,1,1
1,93.0,5,43.0,1,0
1,103.0,9,30.0,1,1
1,99.0,5,57.0,1,0
1,115.0,3,36.0,1,0
1,104.0,9,38.0,1,1
1,116.0,5,47.0,1,0
1,94.0,3,51.0,1,0
1,114.0,11,43.0,1,1
1,113.0,5,18.0,1,0
1,119.0,9,57.0,1,1
1,114.0,9,48.0,1,1
1,108.0,9,27.0,1,1
1,97.0,3,46.0,1,0
1,83.0,1,28.0,9,0
1,103.0,5,43.0,1,0
1,104.0,5,64.0,1,0
1,97.0,5,18.0,1,0
1,109.0,5,69.0,1,0
1,90.0,5,33.0,1,0
1,114.0,4,28.0,2,0
1,99.0,5,38.0,1,0
1,94.0,9,35.0,1,1
1,86.0,5,28.0,1,0
1,93.0,9,35.0,1,1
1,91.0,4,28.0,2,0
1,109.0,7,40.0,1,0
1,91.0,5,28.0,1,0
1,106.0,4,28.0,2,0
1,109.0,9,43.0,1,1
1,111.0,5,51.0,1,0
1,86.0,4,40.0,2,0
1,107.0,3,18.0,1,0
1,103.0,1,28.0,9,0
1,100.0,3,18.0,1,0
1,101.0,5,38.0,1,0
1,97.0,2,36.0,2,0
1,105.0,4,46.0,2,0
1,98.0,2,37.0,2,0
1,111.0,5,18.0,1,0
1,88.0,3,57.0,1,0
1,123.0,5,28.0,1,0
1,98.0,5,33.0,1,0
1,94.0,4,43.0,2,0
1,109.0,5,28.0,1,0
1,70.0,1,18.0,9,0
1,75.0,2,33.0,2,0
1,72.0,9,18.0,1,1
1,70.0,2,18.0,2,0
1,70.0,1,18.0,9,0
1,70.0,1,18.0,9,0
1,70.0,1,18.0,9,0
1,85.0,1,18.0,9,0
1,108.0,4,28.0,2,0
1,75.0,2,28.0,2,0
1,103.0,5,38.0,1,0
1,122.0,11,38.0,1,1
1,110.0,9,40.0,1,1
0,107.0,9,40.0,1,1
0,104.0,11,75.0,1,1
0,70.0,5,58.0,1,0
0,116.0,8,18.0,1,0
0,103.0,1,43.0,9,0
0,95.0,9,43.0,1,1
0,126.0,2,61.0,2,0
0,118.0,9,71.0,1,1
0,115.0,9,27.0,1,1
0,89.0,2,43.0,2,0
0,113.0,11,61.0,1,1
0,85.0,9,37.0,1,1
0,95.0,9,43.0,1,1
0,109.0,11,57.0,1,1
0,111.0,9,69.0,1,1
0,116.0,9,75.0,1,1
0,90.0,6,43.0,2,0
0,90.0,2,28.0,2,0
0,82.0,1,31.0,9,0
0,84.0,8,33.0,1,0
0,117.0,6,28.0,2,0
0,71.0,6,40.0,2,0
0,104.0,10,69.0,1,1
0,86.0,2,18.0,2,0
0,79.0,4,46.0,2,0
0,80.0,4,65.0,2,0
0,99.0,9,18.0,1,1
0,86.0,2,61.0,2,0
0,116.0,11,18.0,1,1
0,124.0,9,65.0,1,1
0,98.0,1,28.0,9,0
0,101.0,5,35.0,1,0
0,87.0,1,43.0,9,0
0,97.0,11,40.0,1,1
0,120.0,11,43.0,1,1
0,103.0,9,43.0,1,1
0,107.0,9,40.0,1,1
0,105.0,7,57.0,1,0
0,99.0,9,37.0,2,1
0,103.0,9,28.0,2,1
0,101.0,3,28.0,1,0
1,102.0,5,18.0,1,0
1,105.0,9,18.0,2,1
1,70.0,2,18.0,2,0
1,101.0,11,43.0,1,1
1,90.0,9,42.0,2,1
1,85.0,9,43.0,1,1
1,104.0,9,18.0,1,1
1,87.0,9,18.0,2,1
1,85.0,9,37.0,1,1
1,102.0,4,42.0,2,0
1,94.0,5,37.0,1,0
1,93.0,9,37.0,1,1
1,99.0,11,37.0,1,1
1,103.0,9,38.0,1,1
1,89.0,5,18.0,1,0
1,92.0,4,37.0,2,0
1,109.0,9,43.0,1,1
1,91.0,5,18.0,1,0
1,109.0,9,58.0,1,1
1,105.0,3,57.0,1,0
1,105.0,9,18.0,1,1
1,90.0,5,69.0,1,0
1,99.0,11,69.0,1,1
1,110.0,9,37.0,1,1
1,88.0,9,37.0,1,1
1,101.0,9,66.0,1,1
1,91.0,2,18.0,2,0
1,78.0,9,18.0,1,1
1,118.0,11,65.0,1,1
1,100.0,1,28.0,9,0
1,100.0,4,18.0,2,0
1,85.0,9,57.0,1,1
1,106.0,11,61.0,1,1
1,97.0,2,18.0,2,0
1,92.0,2,18.0,2,0
1,102.0,1,38.0,9,0
1,86.0,2,18.0,2,0
1,78.0,9,46.0,1,1
1,100.0,2,18.0,2,0
0,104.0,9,61.0,1,1
0,70.0,5,31.0,1,0
0,107.0,9,75.0,1,1
0,114.0,9,37.0,1,1
0,103.0,2,31.0,2,0
0,115.0,5,37.0,1,0
0,106.0,9,57.0,1,1
0,114.0,9,61.0,1,1
0,90.0,9,58.0,1,1
0,103.0,9,37.0,1,1
0,92.0,3,58.0,1,0
0,113.0,11,37.0,1,1
0,92.0,5,37.0,1,0
0,108.0,11,37.0,1,1
0,96.0,3,18.0,1,0
0,70.0,3,18.0,1,0
0,112.0,9,75.0,1,1
0,106.0,9,28.0,1,1
0,91.0,9,37.0,1,1
0,96.0,4,18.0,2,0
0,70.0,1,18.0,9,0
0,109.0,9,57.0,1,1
0,74.0,4,37.0,2,0
0,99.0,3,43.0,1,0
0,107.0,9,37.0,1,1
0,90.0,5,37.0,1,0
0,78.0,4,31.0,2,0
0,70.0,1,37.0,9,0
0,88.0,2,58.0,2,0
0,93.0,4,18.0,2,0
0,88.0,2,43.0,2,0
0,108.0,9,58.0,1,1
0,101.0,11,57.0,1,1
0,98.0,2,28.0,2,0
0,103.0,9,35.0,1,1
0,73.0,9,37.0,1,1
0,109.0,8,43.0,1,0
0,102.0,4,37.0,2,0
0,93.0,2,37.0,2,0
0,93.0,2,18.0,2,0
0,101.0,9,61.0,1,1
0,100.0,6,37.0,2,0
0,70.0,1,31.0,9,0
0,102.0,2,18.0,2,0
0,113.0,4,28.0,2,0
0,91.0,5,37.0,1,0
0,109.0,5,37.0,1,0
0,80.0,1,58.0,9,0
0,118.0,9,18.0,2,1
0,70.0,1,58.0,9,0
0,88.0,4,37.0,2,0
0,72.0,4,37.0,2,0
0,81.0,9,58.0,1,1
0,70.0,2,37.0,2,0
0,97.0,2,18.0,2,0
0,87.0,9,40.0,1,1
0,99.0,4,18.0,2,0
0,81.0,1,18.0,9,0
0,84.0,4,18.0,2,0
0,90.0,2,58.0,2,0
0,95.0,9,37.0,1,1
0,84.0,2,61.0,2,0
0,104.0,6,40.0,2,0
0,105.0,2,31.0,2,0
0,107.0,3,58.0,1,0
0,84.0,2,40.0,2,0
0,70.0,6,18.0,2,0
0,99.0,11,37.0,1,1
0,87.0,9,18.0,1,1
0,81.0,1,18.0,9,0
0,103.0,9,43.0,1,1
0,114.0,9,37.0,1,1
0,101.0,9,35.0,1,1
0,70.0,1,58.0,9,0
0,78.0,9,58.0,2,1
0,70.0,1,37.0,9,0
0,70.0,4,58.0,2,0
0,104.0,9,37.0,1,1
0,86.0,1,18.0,9,0
0,99.0,4,35.0,2,0
0,98.0,4,58.0,2,0
0,118.0,4,18.0,2,0
0,102.0,3,18.0,1,0
0,106.0,4,37.0,2,0
0,108.0,4,35.0,2,0
0,110.0,6,37.0,2,0
0,110.0,4,37.0,2,0
0,89.0,6,28.0,2,0
0,83.0,4,18.0,2,0
0,96.0,5,37.0,1,0
0,113.0,11,65.0,1,1
0,95.0,9,37.0,1,1
0,108.0,4,38.0,2,0
0,96.0,5,28.0,1,0
0,79.0,7,61.0,1,0
1,99.0,5,37.0,1,0
1,107.0,11,37.0,1,1
1,94.0,2,37.0,2,0
1,88.0,5,37.0,1,0
1,82.0,5,57.0,1,0
1,100.0,9,57.0,1,1
1,102.0,9,40.0,1,1
1,111.0,9,58.0,1,1
1,111.0,9,57.0,1,1
1,94.0,1,58.0,9,0
1,94.0,9,18.0,1,1
1,93.0,4,18.0,2,0
1,90.0,9,58.0,1,1
1,84.0,5,18.0,1,0
1,100.0,4,27.0,2,0
1,106.0,9,51.0,1,1
1,114.0,10,57.0,1,1
1,115.0,9,43.0,1,1
1,108.0,9,58.0,1,1
1,117.0,11,51.0,1,1
1,110.0,5,28.0,1,0
1,93.0,9,43.0,1,1
1,117.0,11,37.0,1,1
1,102.0,9,40.0,1,1
1,84.0,9,18.0,1,1
1,94.0,3,28.0,1,0
1,81.0,9,37.0,1,1
1,101.0,5,18.0,1,0
1,91.0,9,37.0,1,1
1,93.0,9,38.0,1,1
1,116.0,9,18.0,1,1
1,90.0,9,57.0,1,1
1,115.0,9,35.0,1,1
1,89.0,1,18.0,9,0
1,108.0,11,37.0,1,1
1,100.0,9,18.0,1,1
1,86.0,4,37.0,2,0
1,84.0,5,37.0,1,0
1,90.0,4,37.0,2,0
1,103.0,11,28.0,1,1
1,100.0,9,57.0,1,1
1,102.0,9,43.0,1,1
1,82.0,5,35.0,1,0
1,83.0,5,37.0,1,0
1,113.0,9,37.0,1,1
1,117.0,11,57.0,1,1
1,111.0,9,18.0,1,1
1,100.0,9,37.0,1,1
1,91.0,11,58.0,1,1
1,97.0,9,58.0,1,1
1,109.0,10,43.0,1,1
1,100.0,3,37.0,1,0
1,98.0,5,37.0,1,0
1,85.0,7,35.0,1,0
1,91.0,1,18.0,9,0
1,85.0,5,31.0,1,0
1,81.0,9,37.0,1,1
1,87.0,9,37.0,1,1
1,95.0,11,37.0,1,1
1,102.0,3,37.0,1,0
1,94.0,1,38.0,9,0
1,89.0,7,37.0,1,0
1,112.0,2,37.0,2,0
1,118.0,9,37.0,1,1
1,70.0,7,37.0,1,0
1,103.0,11,37.0,1,1
1,90.0,9,37.0,1,1
1,97.0,9,37.0,1,1
1,104.0,6,37.0,2,0
1,91.0,2,37.0,2,0
1,94.0,4,37.0,2,0
1,107.0,3,57.0,1,0
1,90.0,3,37.0,1,0
1,70.0,9,37.0,1,1
1,97.0,4,37.0,2,0
1,104.0,5,18.0,1,0
1,96.0,5,28.0,1,0
1,81.0,2,18.0,2,0
1,114.0,9,28.0,1,1
1,106.0,4,18.0,2,0
1,105.0,9,18.0,1,1
1,92.0,2,28.0,2,0
1,96.0,9,38.0,1,1
1,84.0,4,18.0,2,0
1,89.0,2,18.0,2,0
1,111.0,9,58.0,1,1
1,102.0,4,18.0,2,0
1,99.0,4,37.0,2,0
1,104.0,3,37.0,1,0
1,70.0,4,31.0,2,0
1,70.0,4,35.0,2,0
1,90.0,2,18.0,2,0
1,104.0,9,18.0,1,1
1,102.0,9,37.0,1,1
1,86.0,9,37.0,1,1
1,73.0,9,35.0,1,1
1,81.0,5,37.0,1,0
1,93.0,9,57.0,1,1
1,111.0,7,37.0,1,0
1,104.0,3,18.0,1,0
1,105.0,5,28.0,1,0
1,73.0,5,37.0,1,0
1,85.0,9,28.0,1,1
1,107.0,11,61.0,1,1
1,112.0,11,62.0,1,1
0,127.0,11,40.0,1,1
0,114.0,5,66.0,1,0
0,114.0,9,71.0,1,1
0,109.0,2,18.0,2,0
0,93.0,9,51.0,1,1
1,114.0,9,40.0,1,1
1,100.0,9,31.0,1,1
1,92.0,3,18.0,1,0
1,110.0,9,61.0,1,1
1,93.0,4,37.0,2,0
1,96.0,2,43.0,2,0
0,120.0,8,75.0,1,0
0,114.0,11,75.0,1,1
0,127.0,11,40.0,1,1
0,106.0,9,75.0,1,1
0,110.0,9,53.0,1,1
0,92.0,6,38.0,2,0
0,125.0,11,71.0,1,1
0,108.0,9,71.0,1,1
1,112.0,9,18.0,1,1
1,93.0,9,69.0,1,1
1,114.0,9,75.0,1,1
1,104.0,9,18.0,1,1
1,92.0,9,75.0,1,1
1,104.0,5,43.0,1,0
1,109.0,9,71.0,1,1
1,109.0,11,40.0,1,1
1,104.0,5,18.0,1,0
0,123.0,6,36.0,2,0
0,125.0,11,31.0,1,1
0,127.0,11,37.0,1,1
0,129.0,11,43.0,1,1
0,119.0,10,69.0,1,1
0,125.0,4,71.0,2,0
0,121.0,9,37.0,1,1
0,124.0,9,36.0,1,1
0,125.0,9,18.0,1,1
0,129.0,5,18.0,1,0
0,122.0,9,62.0,1,1
0,121.0,10,37.0,1,1
0,122.0,9,40.0,1,1
0,126.0,4,51.0,2,0
0,122.0,11,35.0,1,1
0,123.0,9,65.0,1,1
0,119.0,11,71.0,1,1
1,120.0,11,40.0,1,1
1,127.0,2,35.0,2,0
1,127.0,9,62.0,1,1
1,120.0,9,61.0,1,1
1,127.0,9,58.0,1,1
1,123.0,9,37.0,1,1
1,120.0,11,37.0,1,1
1,123.0,9,37.0,1,1
1,122.0,4,18.0,2,0
1,119.0,11,37.0,1,1
0,134.0,10,62.0,1,1
0,136.0,11,61.0,1,1
0,135.0,11,61.0,1,1
0,140.0,11,71.0,1,1
0,131.0,9,30.0,1,1
0,137.0,11,62.0,1,1
0,136.0,11,18.0,1,1
0,132.0,11,37.0,1,1
1,135.0,11,62.0,1,1
